image_id,source,prompt,evaluation_seed
000000530631,coco-30k,A man works on a motorcycle inside a motorcycle repair garage,66103
000000188733,coco-30k,A public bathroom with a white sink and sign regarding dirty hands.,77669
000000472253,coco-30k,A group of people in a conference room watching a televisions.,38257
000000124707,coco-30k,"A kitchen area with a table, dishwasher and stove.",49946
000000192594,coco-30k,A view of an empty city street at night,61973
000000065124,coco-30k,a messy bathroom with a toilet and toilet paper,50357
000000419401,coco-30k,an image of a train that has a bike sign on the side,76799
000000382542,coco-30k,"A bathroom with a sink, toilet and safety rails.",47187
000000239988,coco-30k,Five men pose for a photo as they sit on their motorcycles,6293
000000326911,coco-30k,Two small dogs on a sidewalk near a bicycle.,70650
000000577521,coco-30k,A white toilet and a sink in a bathroom.,43297
000000512912,coco-30k,A white bowl of bananas and sour cream sits on a white plate next to a banana half in the peel.,85951
000000169505,coco-30k,A person flying a kite high in the sky.,29152
000000133087,coco-30k,Night time view of empty streets in commercial district.,99501
000000043678,coco-30k,A very large commercial plane flying in blue skies.,36374
000000455716,coco-30k,A row of motorcycles parked together on a grass yard area with a house in the background.,49470
000000348087,coco-30k,A black and white clock on a street with people walking by.,70338
000000053016,coco-30k,The giraffe are walking through a wooded park trail.,38510
000000474215,coco-30k,The airplane flew across the blue skies and over the expensive beachside resort.,65195
000000199158,coco-30k,an image of a toilet that is sitting outside,71754
000000002592,coco-30k,Decorated coffee cup and knife sitting on a patterned surface.,86823
000000428263,coco-30k,The young kids are playing Frisbee in the field. ,13639
000000318543,coco-30k,The young boy is doing tricks on his skateboard. ,5834
000000345329,coco-30k,A jet airplane flying above the clouds in the distance.,3112
000000369820,coco-30k,A very rusty old car near some pretty flowers.,98943
000000267844,coco-30k,It is a small kitchen with standard appliances.,70044
000000231952,coco-30k,A giraffe drinking water and some elephants near a watering hole.,76441
000000329957,coco-30k,A couple of girls are standing in a kitchen,95794
000000275754,coco-30k,A small child in pajamas is holding bananas.,53641
000000489613,coco-30k,Photo of a uninstalled toilet on a towel and a drop cloth with buckets and bags.,29427
000000449660,coco-30k,Two cats seen from behind sitting by a window on a carpet.,67672
000000020820,coco-30k,A toilet sitting on the ground near a wall.,84942
000000079689,coco-30k,A partial view of a toilet and sink in a bathroom.,71797
000000212558,coco-30k,A person stopped wearing a yellow jacket riding a motorcycle.,43852
000000007241,coco-30k,A glazed donut propped against a cup of coffee.,40493
000000308506,coco-30k,There is a person sitting on the toilet using the bathroom ,18595
000000110081,coco-30k,A group of people on mopeds in a busy street.,28553
000000046870,coco-30k,A motorcycle leaning on a car in street.,22979
000000124102,coco-30k,Two pictures of streets with cars on them. ,12342
000000052386,coco-30k,A giraffe grazing in pen next to a tree trunk.,46625
000000304379,coco-30k,"A man sitting in a passenger seat of a vehicle, wearing a dress shirt and tie.",26757
000000262323,coco-30k,a full frontal view of a giraffe and an ostrich behind,93216
000000014773,coco-30k,A hotdog is sitting with fries in a paper car on a plate.,90804
000000111830,coco-30k,An airplane can be seen traveling through the clouds.,82740
000000161079,coco-30k,A black and white photo of a woman standing next to a cows rear,54862
000000240681,coco-30k,A man in green shoes stands next to a red motorcycle.,42212
000000336309,coco-30k,a large passenger airplane flying through a cloudy sky,49363
000000151651,coco-30k,A bathroom with a row of wall mounted sinks.,98420
000000362026,coco-30k,A standup shower and toilet in a small bathroom.,29624
000000026051,coco-30k,Three men are packing fruit in containers in the middle of a factory.,74140
000000157124,coco-30k,Various sink cabinets lined up in a warehouse,68581
000000384402,coco-30k,A man on a motorcycle who took a picture of himself in his rear view mirror.,39372
000000481567,coco-30k,A man stands beside his black and red motorcycle near a park.,17573
000000033909,coco-30k,"This is a bathroom with a toilet and a tub with a clear shower curtain,",43388
000000547583,coco-30k,A train door is open of a white and red train.,19614
000000493205,coco-30k,"A white toilet with its seat up, and a roll of toilet paper",4015
000000113082,coco-30k,quaint kitchen with pink flowers on a small central table,29452
000000276151,coco-30k,Young guy in mid motion of catching a frisbee.,61301
000000276892,coco-30k,A giraffe and a zebra stand on a concrete area near rocks.,18235
000000211192,coco-30k,A pristine doctors examining room waiting for the next patient.,86609
000000536683,coco-30k,A toilet in a room with a broken wall.,13908
000000249418,coco-30k,A view of a small kitchen with some amenities.,45628
000000503008,coco-30k,A man waving a red flag at cows in the road.,29545
000000093736,coco-30k,A group of bicycles on a subway train.,84414
000000144870,coco-30k,"A bedroom area with a bed, mirror and window to patio.",86056
000000249227,coco-30k,A white bath and toilet image on a room wall.,92081
000000283380,coco-30k,an orange motor cycle sitting by the water,74009
000000103114,coco-30k,Two male chefs cooking in a kitchen while another staff member uses a mobile phone. ,93921
000000343073,coco-30k,A mirror and soap dispenser in a bathroom.,14045
000000473055,coco-30k,A mirror and sink in a small bathroom.,44070
000000084749,coco-30k,A cat curled up in the shade on a door stoop.,30259
000000518197,coco-30k,A crowd of passengers standing outside of a commuter train.,83238
000000328777,coco-30k,A larger passenger jet flying through a blue sky.,99011
000000273450,coco-30k,A person flipping of a parking meter on the side of a road.,44366
000000481753,coco-30k,A white toilet is at the end of a trail.,56605
000000131063,coco-30k,"A large bathroom features tiled walls, two mirrors and two sinks.",27481
000000301595,coco-30k,A shower and a white toilet in a small bathroom.,18964
000000471578,coco-30k,A church with a clock tower and a bell. ,19316
000000211112,coco-30k,"A bed room with bunk beds, a double bed desk and chairs in it.",27984
000000309033,coco-30k,A large kitchen with a stove and a sink.,41448
000000221523,coco-30k,A man sitting on a bike holding a large dog on his knee with one are and guiding the bike with the other hand.,96779
000000530099,coco-30k,A orange calico cat on top of a vehicle.,61827
000000265584,coco-30k,A white plane has bright orange stripes and is parked in a lot near other planes.,38841
000000523403,coco-30k,A dog sitting on the floor in a room.,7322
000000368291,coco-30k,A blue plate of food on a table.,19090
000000055375,coco-30k,A woman bathing a baby near a kitchen sink.,86991
000000064240,coco-30k,Four identical motorcyclists viewed from the back as they look over their shoulders.,48634
000000385625,coco-30k,Many small airplanes with propellers parked in a stationary position.,43948
000000157944,coco-30k,a close up of a tv with a man wearing s suit and shirt,92493
000000272136,coco-30k,A large propeller plane mounted to the ceiling of a building.,48579
000000060093,coco-30k,Cars driving on a road near a traffic light.,72199
000000167700,coco-30k,a silver toilet and some toilet paper and a green switch,35917
000000075216,coco-30k,A herd of cattle laying in the grass on the ground.,49253
000000434371,coco-30k,A TV set sitting on top of a shelf next to movies.,79243
000000155451,coco-30k,a green traffic light a street  some buildings and some other lights,34852
000000470113,coco-30k,Add you own paint or woodstain to these unfinished cabinets.,68103
000000545978,coco-30k,A couple of people on motor bikes on a dirt road.,23600
000000150342,coco-30k,A person with a hooded jacket is working on a laptop while sitting on a bench in the park.,4602
000000577355,coco-30k,three traffic lights hanging off a pole and some buildings,49568
000000005503,coco-30k,a man standing in front of a toilet taking a piss,67451
000000029680,coco-30k,Three giraffes in grassy field next to trees.,89109
000000151247,coco-30k,A white open toilet seat with signatures sitting amongst posters.,96275
000000550714,coco-30k,"The little  girl is eating a banana.
",64676
000000227265,coco-30k,A group of people walking near some skis.,35135
000000148282,coco-30k,A baby in a carriage on street next to market.,44917
000000523229,coco-30k,A dirty public bathroom with a handicap sign located above the toilet. ,43579
000000533074,coco-30k,A marble-look bathroom with a bath enclosure and white sink on a long counter.,50003
000000267972,coco-30k,A group of people on bicycles in a busy street.,68832
000000564127,coco-30k,Toilet with a black lid and rolls of toilet tissue in a bathroom,51857
000000016180,coco-30k,A dog laying on the dashboard of a vehicle.,34193
000000449996,coco-30k,Two planes in runway and another plane in the sky.,92613
000000375180,coco-30k,"A kitchen area with a sink, refrigerator and stove.",8541
000000469840,coco-30k,A man and child on a red and black motorcycle.,98543
000000534827,coco-30k,a group of young men are riding their motocycles down the street,74229
000000395124,coco-30k,A bathroom with a decorated shower curtain. ,37909
000000137004,coco-30k,Baskets of oranges and a basket of pears.,95801
000000373713,coco-30k,Three men sit at a conference discussing a topic,47449
000000052232,coco-30k,A bed in a hotel room with doors leading to a balcony.,78861
000000214519,coco-30k,Two side by side urinals mounted on a wall.,47981
000000480021,coco-30k,A painting of a man and woman riding together on a motorcycle.,93150
000000421201,coco-30k,Doorway view of a bathroom that includes a toilet and tub.,98480
000000431352,coco-30k,"Closed toilet in a narrow, tiled bathroom, with sink and shower stall.",73048
000000123570,coco-30k,A man and woman under an umbrella on a sidewalk at night.,88011
000000263505,coco-30k,A man wearing jeans sitting on a parked motorcycle.,98602
000000186036,coco-30k,a person on the back of a parked truck,64005
000000478312,coco-30k,"a kitchen with a fridge, stove and sink",43235
000000513681,coco-30k,A man in a safety vest holds him arms up as he stands in front of an airplane.,83216
000000550007,coco-30k,A person is racing around a track on a motorcycle.,14000
000000487525,coco-30k,a bath room with a toilet a bath tub and curtains,11986
000000225963,coco-30k,A girl mixing food with a whisk in a measuring bowl.,80345
000000419971,coco-30k,This men's bathroom has two urinals and a sinks.,96890
000000184762,coco-30k,A gold clock with ornate iron hands keeps time on a large clock with roman numerals.,13240
000000260330,coco-30k,The kitchen has two refrigerators and a stove in it.,5168
000000436141,coco-30k,The bathroom is clean and ready to be used. ,56337
000000325385,coco-30k,Office scene showing frosted glass cubicles and a computer screen on.,48088
000000086448,coco-30k,Woman in green jacket holding up a bicycle in a park. ,36591
000000522452,coco-30k,Large white airplane with blue tail sitting on a runway. ,79354
000000149222,coco-30k,The computer monitor has a framed picture near it.,60025
000000161202,coco-30k,Motorcycles parked curbside in front of a run down repair shop.,75504
000000466332,coco-30k,a bench in front of a house with bushes,74382
000000334170,coco-30k,a bath room with a toilet a sink and a bath tub,28549
000000580108,coco-30k,A couple browsing the motorcycles for sale outside,77989
000000279140,coco-30k,A white and blue bus passing a street intersection.,74331
000000529698,coco-30k,a close up of a motorcycle parked on a street filled with people,28115
000000500718,coco-30k,Several airplanes are parked neatly in a row.,86814
000000038465,coco-30k,Traffic on a busy city street at night.,91504
000000567609,coco-30k,A decorative space with yellow ceramics and a vase of flowers.,84745
000000490381,coco-30k,Various people walking on a street in front of a wall advertisement.,39002
000000281017,coco-30k,"A bathroom with a sink, toilet and bathtub.",18236
000000409566,coco-30k,a bathroom with a toilet and a sink and a bath tub,61620
000000037751,coco-30k,A person on dirt bike riding down a hill with mountains in background.,4728
000000500420,coco-30k,A multicolored kite against a blue sky with clouds.,77125
000000508370,coco-30k,A bicycle parked on top of a baby dolls head.,93968
000000581157,coco-30k,a cat laying on the floor next to a fish bowl,94282
000000221536,coco-30k,A large room with marble floors and white ceramic toilets,77787
000000135071,coco-30k,A stove top oven with a tea kettle on top of it.,89934
000000376608,coco-30k,A brown dog laying down in a room next to a desk.,3237
000000124462,coco-30k,A orange tabby cat laying down on a black car,13901
000000326517,coco-30k,a cargo plane being loaded by a scissor jack truck,348
000000472233,coco-30k,a parade of motor cycles being watched by a crowd,30030
000000283119,coco-30k,a dog laying down eating food out of a bowl,63361
000000579814,coco-30k,This airplane is taking off in the air near other airplanes.,38249
000000515043,coco-30k,The air plane is traveling down the runway at the airport. ,95506
000000304749,coco-30k,The woman is taking a picture in the bathroom mirror. ,69935
000000565045,coco-30k,Blue bathroom with two white towels hanging by the shower.,11756
000000539390,coco-30k,an up close picture of mechanic of a bike ,33546
000000056580,coco-30k,An old time car is parked at the curb near a stop sign.,39327
000000346482,coco-30k,the propeller of a plane flying in the air,56431
000000200116,coco-30k,A beautiful kitchen with lots of windows and wooden cabinets. ,17376
000000069969,coco-30k,A restaurant full of people sitting on benches,17796
000000298225,coco-30k,A man wearing a hat riding a motorcycle.,55078
000000001342,coco-30k,Open book with images of various airplane models and shapes,18943
000000520108,coco-30k,A big screen TV in a fancy looking Hotel room,62660
000000102275,coco-30k,Giraffes and a Zebra under a locust tree.,84288
000000084540,coco-30k,Two people on bicycles riding next to a building.,10269
000000512394,coco-30k,A metal motorcycle parked on top of a metal grate.,68771
000000063661,coco-30k,"A kitchen area with counter, sink , stove and windows.",45078
000000566155,coco-30k,A bathroom area with a crate full of water and an in-floor urinal.,60270
000000300659,coco-30k,A formation of airplanes flying through a  blue sky.,75386
000000480015,coco-30k,"A desk with a book, computer and other electronic devices. ",99002
000000281353,coco-30k,A bathroom with a toilet sitting next to a tub.,78103
000000309492,coco-30k,A cop riding on the back of a motorcycle down a street.,29007
000000496383,coco-30k,A man and woman sitting on a wooden bench together.,9119
000000242222,coco-30k,a red motorcycle parked on some gravel next to grass ,53524
000000023369,coco-30k,This motorcycle is parked on the side of the grass.,72752
000000250311,coco-30k,A kitchen counter with pots hanging above it and several objects in the corner.,30366
000000246951,coco-30k,A group of people standing on top of a sandy beach.,63290
000000242940,coco-30k,"A stop sign at an intersection, with Hammer time and a person's picture displayed on the sign ",87292
000000193424,coco-30k,A view of a traffic street filled with cars and motorcycles. ,36910
000000412531,coco-30k,a single parking meter sitting next to some plants and a tree ,58044
000000568925,coco-30k,A stove top burner sitting inside of a storage room.,70938
000000398554,coco-30k,The bathroom sink and vanity is a little messy. ,23433
000000345960,coco-30k,A woman with a nice ass standing in a kitchen preparing food.,68939
000000352361,coco-30k,A man flying through the air while riding a snowboard.,97439
000000407861,coco-30k,A toilet is on a tile floor in a bathroom.,76357
000000450125,coco-30k,A sink is under a mirror with bottles of soap and lotion.,37490
000000501315,coco-30k,The racer drives the motorcycle around the curve.,61604
000000452013,coco-30k,A small bathroom with a white toilet and tan tile.,840
000000538792,coco-30k,A red and black motorcycle parked near another bike.,37397
000000050942,coco-30k,two males on computers and a gray keyboard,45513
000000363840,coco-30k,Several different pieces of electronic equipment and computers on a desk.,4513
000000420081,coco-30k,The front of a Chinese postal store with people walking by.,23167
000000113897,coco-30k,A beige bathroom with a phone beside the toilet.,65876
000000426541,coco-30k,Two jet liners sitting on top of an airport runway.,76973
000000455610,coco-30k,A parked red motorcycle sitting in front of a building.,5049
000000255213,coco-30k,A jumbo jet airplane coming in for a landing on a runway.,73512
000000241319,coco-30k,A bathroom sink with two toothbrushes facing each other.,58504
000000362306,coco-30k,A man holding a large knife on top of a table.,12587
000000131494,coco-30k,A man riding a motorcycle down a street with a person.,91367
000000502599,coco-30k,A group of airplanes floating over the ocean.,1413
000000052996,coco-30k,A group of women in military outfits helping other women in a kitchen.,99809
000000496402,coco-30k,A man playing chess as a cat watches in the other chair.,94063
000000304876,coco-30k,The Seattle Space Needle as a Jumbo Jet Plane flies by.,24336
000000233446,coco-30k,A cat sitting on the steps in front of its cat door.,39045
000000567093,coco-30k,A white toilet sitting in a bathroom next to a roll of TP.,7712
000000446053,coco-30k,A couple of beautiful women talking to an older man.,8372
000000123289,coco-30k,A crowded city street filled with traffic at night.,20854
000000186980,coco-30k,A wooden table with two chairs next to a sink.,48847
000000448690,coco-30k,A group of people standing behind a Military cargo plane.,21201
000000445309,coco-30k,A woman riding a bike next to a red compact car.,852
000000153524,coco-30k,A computer desk topped with a computer and two monitors.,90934
000000480944,coco-30k,A traffic light sitting on the side of a road.,29297
000000199771,coco-30k,A group of people in chef outfits at a kitchen counter.,80845
000000224736,coco-30k,A professional kitchen filled with sinks and appliances.,40902
000000435466,coco-30k,"A kitchen area with shelves, counter and bar stools.",37781
000000517029,coco-30k,A giraffe grazing from a tree with rock wall in background.,17220
000000537727,coco-30k,A spinning wheel and hutch by window at night.,14359
000000411201,coco-30k,A large two level bus near a tall structure.,36346
000000086848,coco-30k,A smiling lady sitting by a cake with a lit candle.,70778
000000122851,coco-30k,There is a man picking bananas next to a street.,16890
000000529568,coco-30k,A big fancy glass chandelier hanging in a small kitchen.,15395
000000457684,coco-30k,A large white airplane parked on a runway.,39325
000000326079,coco-30k,Three giraffes standing amongst a copse of trees.,56445
000000494269,coco-30k,"A bathroom with a toilet, sink and trashcan in it.",37010
000000079415,coco-30k,"A bathroom with bathtub, sink, toilet and washing machine.",82943
000000245161,coco-30k,A toilet setting in a bathroom with tile flooring.,69783
000000495613,coco-30k,A yellow motorcycle and a blue motorcycle parked on red gravel.,99543
000000329219,coco-30k,A man standing next to a dog on the ground.,6047
000000142257,coco-30k,Multiple vehicles on a city street near a light.,96219
000000110951,coco-30k,A remote control sitting on a dash of a car.,32086
000000262800,coco-30k,Jet flying in the sky among the clouds.,49404
000000196168,coco-30k,"Doorway view of a bathroom with sink, toilet and bidet. ",82597
000000574166,coco-30k,"A bathroom with a sink, toilet, trashcan and tub.",27652
000000442688,coco-30k,A plane on a runway at a small airport.,6912
000000301201,coco-30k,A collection of books and knick-knacks on shelves.,79038
000000034222,coco-30k,A person riding a motorcycle down the street.,2439
000000463132,coco-30k,The top of the computer desk is very shiny.,68738
000000285433,coco-30k,A toilet with a black seat cover next to a sink.,19419
000000115700,coco-30k,Two people sitting at a table eating food,73647
000000310103,coco-30k,a motorcycle in a driveway with a vanity license plate ,20733
000000379310,coco-30k,"Two computers, keyboard and phone with mouse on a desk.",77913
000000433204,coco-30k,a person riding a motorcycle on a city road with a sky background,46
000000283768,coco-30k,a person standing next to a trindle bed,47926
000000009274,coco-30k,"A single pillar with a clock is near approaching traffic, including a police car. ",12478
000000426247,coco-30k,A small dog laying next to a door.,88802
000000474499,coco-30k,Towels hanging on an oven in a kitchen,39685
000000108669,coco-30k,"A bow of fruit, such as bananas and apples.",80007
000000391656,coco-30k,A bathroom features a picture of a woman a toilet and a sink.,62405
000000505709,coco-30k,Empty bar or lounge before or after business hours.,18130
000000294853,coco-30k,"A man in a red cap, green shirt and white shorts holds a tennis racket under his arm.",29733
000000377401,coco-30k,A large yellow building has a clock on it.,23429
000000010039,coco-30k,A very large tower has a clock on it.,61284
000000462341,coco-30k,An older building with birds flying near it.,87256
000000165771,coco-30k,There is a clock tower with colored embellishment on top,1828
000000267875,coco-30k,A picture taken through a car window of a shop with many motorcycles parked in front of it.,82976
000000034830,coco-30k,A white urinal in a small red tiled bathroom.,73502
000000102353,coco-30k,A couple of people standing in a large kitchen.,65386
000000018783,coco-30k,A man in white shirt on bicycle with a dog riding in the back.,94687
000000058232,coco-30k,A man at a restaurant is waiting to serve customers.,82682
000000066827,coco-30k,A kitchen with a screen glass door next to the counter.,94442
000000042433,coco-30k,an overhead view of many people on motorcycles ,33644
000000407017,coco-30k,two people in a kitchen area preparing food on a stove,25046
000000020536,coco-30k,a toilet with many rolls of toilet paper next to it,2627
000000464006,coco-30k,A motorcycle that is on the ground sideways.,91954
000000328530,coco-30k,Two white plates sit on the edge of a table holding pizza slices with fried eggs on them.,48958
000000142537,coco-30k,A motorcycle parked at a store parking lot.,84996
000000431306,coco-30k,A man taking a picture of his reflection in the bathroom,49732
000000027519,coco-30k,a person standing on a city sidewalk holding a dog leash,93356
000000392364,coco-30k,a statue of a person riding a horse in front of a building,37
000000029833,coco-30k,A woman is holding a small bunch of fruit.,25085
000000285882,coco-30k,A plate of pasta with sauce and bread on a table.,42719
000000118728,coco-30k,A plane flying in the sky during the day.,7840
000000497443,coco-30k,A cat sitting on the edge of a tub with the faucet running.,80034
000000110258,coco-30k,Two giraffe standing next to each other behind a wire fence.,19820
000000203732,coco-30k,A white toilet seat in some lavatory somewhere.,73262
000000427521,coco-30k,"A bowl of prepared food including rice, meat and broccoli.",60158
000000266348,coco-30k,An old stone building with a clock on one outside wall.,83653
000000533166,coco-30k,"A modern kitchen with a fridge, island counter, hardwood floor, and deco ceiling artwork.",30872
000000157416,coco-30k,A girls bicycle leaning against a street sign,90212
000000367142,coco-30k,A woman in white shirt standing in kitchen area.,61653
000000242510,coco-30k,A large white dog statue sitting next to a clock.,24265
000000068650,coco-30k,A man and a boy standing next to a tall giraffe.,99480
000000106901,coco-30k,A sign above a doorway with a bench in front,1382
000000242189,coco-30k,The reflection of a woman carrying a bag over each shoulder in a mirror.,66769
000000388290,coco-30k,A wooden area on a ship with lots of food.,55664
000000244833,coco-30k,A yellow and a green motorcycle in the back of an auditorium.,3044
000000094651,coco-30k,A couple of cats standing on top of a desk.,13750
000000225686,coco-30k,A man with a bicycle with tanks for holding a liquid mounted on it.,61688
000000072843,coco-30k,A red double decker bus parked in front of a tall building.,7483
000000191705,coco-30k,A white toilet sitting on the floor next to a tiled wall.,29893
000000271712,coco-30k,A bathroom with a white bath tub under a window.,89859
000000143876,coco-30k,Two cats in a vehicle with one laying in the dashboard and one perched looking out the side window.,57628
000000555035,coco-30k,there is a withe toilet and the tub has a blue curtain,92044
000000039726,coco-30k,A danish dessert with frosting that is partially eaten,56206
000000331698,coco-30k,"A bathroom with a bath tub, toilet and different designed light beige tile.",76024
000000535322,coco-30k,An airport is mainly empty concrete parking with other planes far in the distance.,90706
000000177938,coco-30k,A man standing next to a parked motorcycle.,23733
000000163755,coco-30k,a group of people skiing on a hill ,93918
000000463066,coco-30k,A cat perched on top of  a white toilet seat.,53367
000000349459,coco-30k,A passenger jet that is pulled in next to the terminal.,37594
000000460053,coco-30k,there is a man fixing something under a sink,34968
000000504977,coco-30k,A lady sitting on a bench in a very open field.,78810
000000390190,coco-30k,"A bathroom with sinks, a toilet and a mirror.",35554
000000378482,coco-30k,A lady wearing an apron in a kitchen.,91801
000000492067,coco-30k,An airplane flying over a man standing in the ocean.,89762
000000057350,coco-30k,A group of zebra on a grassy field.,64624
000000359959,coco-30k,a white urinal with its blue and white controller,29298
000000123580,coco-30k,A table with four bowls of food on the top.,67304
000000452727,coco-30k,A table and a clock in a small room.,67495
000000109434,coco-30k,A bathroom with a large mirror above a white sink.,66009
000000050481,coco-30k,A creepy Spinx statue suspended to the front end of a dump truck.,4003
000000512966,coco-30k,A white toilet sitting next to a sink in a bathroom.,7075
000000515904,coco-30k,A bathroom with a large tub next to a sink.,74653
000000171962,coco-30k,A city bus driving down a road with bikes fixed to it's front.,37865
000000313386,coco-30k,A couple of large white airplanes parked in a stationary position.,9125
000000103667,coco-30k,A kitchen with a center island surrounded by wooden stools.,30311
000000053697,coco-30k,A white stove top oven sitting inside of a kitchen.,83291
000000248382,coco-30k,A woman in orange sari on a park bench.,45468
000000012946,coco-30k,People walking around downtown and a man riding his bike.,48772
000000185930,coco-30k,This is a public bathroom with  soap dispensers installed on the wall.,65090
000000374886,coco-30k,A United States air plane taking off .,27748
000000207072,coco-30k,Flowers in a glass vase with traffic in the background .,46687
000000178189,coco-30k,A air plane that is parked at air port.,93054
000000361586,coco-30k,several people are purchasing tickets at a bus station,80896
000000182611,coco-30k,A man making his plate with a table full of food. ,48563
000000327892,coco-30k,People using their laptops in the backseat of a car.,87341
000000495252,coco-30k,A man on a skateboard riding on a street.,91699
000000026045,coco-30k,A long line of white urinals in a public restroom.,67301
000000569103,coco-30k,A small piece of cake on a table.,33457
000000056988,coco-30k,Top down view of a bathroom with a toilet and trash can.,14313
000000189828,coco-30k,Grey plane taking off above some green vegetation.,88773
000000169347,coco-30k,A dog on a leash in front of a closed door,76253
000000328041,coco-30k,There are black and white poles along a street corner,3584
000000098716,coco-30k,Elderly man sitting on a bench facing the beach. ,77837
000000568611,coco-30k,A motorcycle sits in the parking spot in the parking lot.,47794
000000080219,coco-30k,A sink with cups and towel next to it,73784
000000509192,coco-30k,A woman is standing on a kitchen floor.,17986
000000434098,coco-30k,"A tiled bathroom with a single vanity, toilet and shower.",40382
000000455981,coco-30k,A white toilet that does not have it's seat down.,52936
000000241350,coco-30k,A ten speed bike is next to a wooden desk.,30138
000000364521,coco-30k,A red helmet is on a yellow toilet in the dirt.,9146
000000086835,coco-30k,The large building has many windows and a white door.,72159
000000310407,coco-30k,A man watching a single engine plane make an approach to land.,15168
000000232949,coco-30k,The van is driving down the street in traffic.,65790
000000281365,coco-30k,A metal sink and a row of white urinals,37571
000000382191,coco-30k,"A bathroom area with lights, standup shower and trashcan.",32696
000000565941,coco-30k,A man serving a small chocolate cake on a white table.,27834
000000117222,coco-30k,A man on bicycle carrying bunches of bananas through street.,42797
000000272863,coco-30k,"A bathroom area with a tub, sink and wooden floor.",91932
000000103488,coco-30k,a public bathroom with several sinks and mirrors,59580
000000316365,coco-30k,"A person working at an airport, outside of an airplane.",23059
000000141795,coco-30k,a bath room with a toilet a large mirror,38051
000000259519,coco-30k,A laptop sits on a metal table by a metal stool.,76834
000000134815,coco-30k,A kitchen that has wooden cabinets and lots of pots and pans.,56275
000000166323,coco-30k,Mirror view of a bathroom with a sink and tub.,5465
000000448176,coco-30k,some cars on a ferry on a body of water,60786
000000071918,coco-30k,a person riding a bike on a grass field with rocks,82845
000000404462,coco-30k,A black and white photograph of something I cannot quite make out. ,66329
000000448205,coco-30k,A renovated propeller airplane flying in a blue sky,81298
000000498804,coco-30k,A tower of a building that has a clock on it.,3247
000000421952,coco-30k,A row of motorcycles is sitting on the sidewalk.,93825
000000154363,coco-30k,a bathroom with a wooden water box for the toilet,61362
000000218205,coco-30k,A woman siting at a table in front of a coffee cup in a a kitchen.,1614
000000404608,coco-30k,A white wall mounted toilet in a bathroom.,18959
000000135356,coco-30k,A man drying a pan with a dish towel.,89431
000000332221,coco-30k,People walk by a row of parked motorcycles. ,63342
000000429598,coco-30k,An interesting kitchen renovation with brick and wood,17721
000000104392,coco-30k,"a modern kitchen with an oven, stove, and a fridge ",60060
000000305978,coco-30k,A giraffe is walking in a grassy field as a cow is laying down.,79337
000000478338,coco-30k,A women using sports equipment on the water.,21188
000000395512,coco-30k,A kitchen with marble counter tops has wooden cabinets and many appliances.,20593
000000548523,coco-30k,Some steel counters that have various items on them.,60371
000000088846,coco-30k,A clean bathroom that has a sink and a bathtub.,42650
000000042893,coco-30k,Airplanes set to take off at a city airport,96075
000000435937,coco-30k,its sunny outside and you can see the shadows of benches,74736
000000561500,coco-30k,A storage room full with wooden furniture and bikes.,37373
000000355106,coco-30k,A table with portable cook stove  and other objects on it.,81220
000000456574,coco-30k,There are two men sitting on a park bench,9221
000000255279,coco-30k,A motorcycle parked in a parking lot next to a car.,31588
000000453302,coco-30k,"A kitchen that has a tile floor, a refrigerator, a microwave, and a toaster.",91184
000000103413,coco-30k,A man riding a skateboard up the side of a ramp.,43629
000000215998,coco-30k,A parked black motorcycle sitting on top of a parking lot.,57793
000000116279,coco-30k,A large jetliner flying through a cloudy blue sky.,9250
000000046775,coco-30k,Two long metal tables sitting inside of a kitchen.,63107
000000367128,coco-30k,A pregnant women takes a selfie wearing a black tank top.,35953
000000297976,coco-30k,"Doorway view to a bathroom with a sink, cabinets and a toilet.",6827
000000005477,coco-30k,large mustard yellow commercial airplane parked in the airport,39571
000000233997,coco-30k,A welcome mat placed at the foot of a closed door.,39518
000000522232,coco-30k,a person washing a parked motorcycle on a concrete road,2010
000000463048,coco-30k,a couple of red light and a green light ,58467
000000127141,coco-30k,a spoon with some foam and a tomato sitting in it ,30915
000000302531,coco-30k,a giraffe stands looking over a watering hole ,13456
000000401642,coco-30k,A metallic sink in a kitchen with a couple of dirty dishes.,72341
000000468043,coco-30k,A little boy is sitting on a statue of a sheep.,85559
000000494345,coco-30k,a cat is climbing from a window sill on top of a toilet seat,15220
000000063950,coco-30k,A black and white cat is sitting in the sink.,20166
000000068833,coco-30k,A kitchen that has carpeted floors and wooden cabinets.,96527
000000046538,coco-30k,"A pristine modern bathroom, toilet, sink and bathtub.",31694
000000284658,coco-30k,a man sits with his dog as they watch television ,44969
000000194313,coco-30k,A black and white cat is sitting on the bathroom sink.,40483
000000299776,coco-30k,An unfinished kitchen that has a refrigerator and cabinets.,71041
000000560025,coco-30k,A toilet that has a Harry Potter themed lid.,46809
000000351609,coco-30k,a bunch of already peeled oranges grouped together ,80352
000000047938,coco-30k,A pair of slippers sits on the bathroom floor.,22851
000000464515,coco-30k,The couple is riding the motorcycle together. ,72273
000000403107,coco-30k,An open laptop computer sitting on top of a desk.,1671
000000197254,coco-30k,A horse drawn carriage is parked along the curb.,22909
000000117645,coco-30k,A man riding a snowboard down a snow covered slope.,74287
000000352334,coco-30k,A bathtub with candles lit up around it and a stool next to it.,83183
000000459634,coco-30k,People are riding on motorcycles on a scenic road.,70377
